instance,solution,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,abcdsat,mergehordesatparallel,plingeling
sc-2021/20-100-frag12-14_sat.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/puzzle39_sat.cnf.xz,SATISFIABLE,,SATISFIABLE,SATISFIABLE,,,,,,SATISFIABLE,SATISFIABLE
sc-2021/vlsat2_702_14170.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,,,,,SATISFIABLE,SATISFIABLE
sc-2021/spg_300_300.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/mp1-blockpuzzle_5x12_s6_free3.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/mp1-bsat210-739.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/spg_200_301.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/string_compare_safety_cbmc_unwinding_700.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/crafted_n12_d6_c3_num18.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/SC21_Timetable_C_140_E_32_Cl_30_S_10.cnf.xz,,,,,,,,,,,
sc-2021/dist10.c.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/WS_400_16_90_70.apx_0.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-526-420.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/ctl_4201_555_unsat.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/string_compare_safety_cbmc_unwinding_690.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/bvsmod_18.smt2.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE
sc-2021/mp1-blockpuzzle_5x10_s5_free3.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/73.smt2.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/maximum_constrained_partition_14_bits_n200.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/SE_PR_WS_500_16_70_10.apx_0.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/quad_res_r21_m22.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/sokoban-p20.sas.cr.27.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/n320p5q2_n.apx_17.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/ER_500_40_2.apx_0.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/crafted_n12_d6_c3_num28.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/b2005-p1-12x12c10h7-Ser5-0.cnf.xz,,,,,,,,,,,
sc-2021/sp5-21-15-una-stri-flat-noid.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/LABS_n089_goal008.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,,SATISFIABLE,SATISFIABLE
sc-2021/battleship-12-12-unsat.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/puzzle47_sat.cnf.xz,,,,,,,,,,,
sc-2021/Circuit_multiplier45.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/sp5-26-19-bin-nons-tree-noid.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/Kakuro-easy-045-ext.xml.hg_4.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-470-105.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-529-60.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf.xz,,,,,,,,,,,
sc-2021/string_compare_safety_cbmc_unwinding_730.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/rphp4_080_shuffled.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/edit_distance025_450.cnf.xz,SATISFIABLE,,SATISFIABLE,,,,,SATISFIABLE,SATISFIABLE,SATISFIABLE,
sc-2021/uum32.smt2.cnf.xz,,,,,,,,,,,
sc-2021/UCG-20-10p1-sc2009.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/b2005-p2-12x12c10h7-Ser7-0.cnf.xz,,,,,,,,,,,
sc-2021/maxor128.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/randomG-n20-d05.cnf.xz,UNSATISFIABLE,,,UNSATISFIABLE,,,,,,,UNSATISFIABLE
sc-2021/vlsat2_112_4223.cnf.xz,UNSATISFIABLE,,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/sted5_0x0_n90-157.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/rphp4_090_shuffled.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/vlsat2_142_6781.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/quad_res_r35_m36.cnf.xz,,,,,,,,,,,
sc-2021/mp1-klieber2017s-1200-022-eq.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/10pipe_k.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/WS_500_32_30_10.apx_0.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/sted5_0x1e3-20.cnf.xz,SATISFIABLE,,,,,,,,,SATISFIABLE,
sc-2021/puzzle35_sat.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/MVD_ADS_S4_5_5.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/randomG-n16-d05.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/edit_distance019_312.cnf.xz,SATISFIABLE,,SATISFIABLE,,,,,,,SATISFIABLE,
sc-2021/20-100-p100-55_unsat.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/b2005-p5-14x14c17h9-Ser5-0.cnf.xz,,,,,,,,,,,
sc-2021/vlsat2_51_824.cnf.xz,UNSATISFIABLE,,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,
sc-2021/size_5_5_5_i251_r12.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/mp1-Nb7T46.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,,,SATISFIABLE,SATISFIABLE,
sc-2021/quad_res_r26_m27.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,,UNSATISFIABLE,
sc-2021/Kakuro-easy-089-ext.xml.hg_4.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/MVD_ADS_S10_5_6.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-506-60.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/sp4-33-bin-stri-flat-noid.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/Sz1024_34824.smt2.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,
sc-2021/satch2ways16.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE
sc-2021/quad_res_r33_m36.cnf.xz,,,,,,,,,,,
sc-2021/mp1-klieber2017s-0490-024-t12.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/ktf_TF-3.tf_3_0.02_24.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/ktf_TF-3.tf_2_0.02_24.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/at-least-two-traffic_pcb_unknown.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/Kakuro-easy-104-ext.xml.hg_6.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/b2005-p3-14x14c17h9-Ser3-0.cnf.xz,,,,,,,,,,,
sc-2021/Circuit_multiplier35.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/barman-pfile10-040.sas.ex.15.cnf.xz,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,,,,,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/Mycielski-10-hints-9.cnf.xz,UNSATISFIABLE,,,,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,,UNSATISFIABLE,
sc-2021/ktf_TF-3.tf_4_0.04_48.cnf.xz,,,,,,,,,,,
sc-2021/vlsat2_144_7585.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/sokoban-p16.sas.ex.19-sc2016.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,,,
sc-2021/sted3_0x0_n201-239.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/b2005-p1-12x12c10h7-Ser3-0.cnf.xz,,,,,,,,,,,
sc-2021/LABS_n068_goal001.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/crafted_n10_d6_c4_num15.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/quad_res_r31_m35.cnf.xz,,,,,,,,,,,
sc-2021/string_compare_safety_cbmc_unwinding_780.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/dist4.c.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/edit_distance007_85.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/mp1-klieber2017s-1000-023-eq.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/b2005-p4-12x12c10h7-Ser3-0.cnf.xz,,,,,,,,,,,NONE
sc-2021/sp5-21-15-bin-stri-flat-noid.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/spg_200_307.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/sted2_0x1e3-216.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/randomG-n19-d05.cnf.xz,UNSATISFIABLE,,,UNSATISFIABLE,,,,,,,UNSATISFIABLE
sc-2021/HCP-446-60.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
